WELLSVILLE CENTRAL SCHOOL DISTRICT,2012-2013,29,0.18,40,0.25,69,0.43,MIDDLE/HIGH,126 WEST STATE ST,WELLSVILLE,NY,14895
BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2012-2013,59,0.17,52,0.15,111,0.31,DISTRICT TOTAL,100 SCHOOL ST,BOLIVAR,NY,14715
BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2012-2013,26,0.12,31,0.14,57,0.25,ELEMENTARY,100 SCHOOL ST,BOLIVAR,NY,14715
BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2012-2013,33,0.26,19,0.15,52,0.40,MIDDLE/HIGH,100 SCHOOL ST,BOLIVAR,NY,14715
CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2012-2013,83,0.14,116,0.20,199,0.34,DISTRICT TOTAL,1 GORDON DR,BINGHAMTON,NY,13901
CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2012-2013,51,0.15,61,0.18,112,0.33,ELEMENTARY,1 GORDON DR,BINGHAMTON,NY,13901
CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2012-2013,32,0.14,55,0.24,87,0.38,MIDDLE/HIGH,1 GORDON DR,BINGHAMTON,NY,13901
BINGHAMTON CITY SCHOOL DISTRICT,2012-2013,383,0.20,440,0.23,823,0.42,DISTRICT TOTAL,164 HAWLEY ST,BINGHAMTON,NY,13901
BINGHAMTON CITY SCHOOL DISTRICT,2012-2013,254,0.21,264,0.21,518,0.42,ELEMENTARY,164 HAWLEY ST,BINGHAMTON,NY,13901
BINGHAMTON CITY SCHOOL DISTRICT,2012-2013,129,0.18,176,0.25,305,0.43,MIDDLE/HIGH,164 HAWLEY ST,BINGHAMTON,NY,13901
HARPURSVILLE CENTRAL SCHOOL DISTRICT,2012-2013,72,0.21,79,0.23,151,0.44,DISTRICT TOTAL,54 MAIN ST,HARPURSVILLE,NY,13787
HARPURSVILLE CENTRAL SCHOOL DISTRICT,2012-2013,51,0.25,42,0.20,93,0.45,ELEMENTARY,54 MAIN ST,HARPURSVILLE,NY,13787
HARPURSVILLE CENTRAL SCHOOL DISTRICT,2012-2013,21,0.15,37,0.27,58,0.42,MIDDLE/HIGH,54 MAIN ST,HARPURSVILLE,NY,13787
SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,85,0.17,97,0.19,182,0.36,DISTRICT TOTAL,1040 CONKLIN RD,CONKLIN,NY,13748
SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2012-2013,46,0.16,51,0.17,97,0.33,ELEMENTARY,1040 CONKLIN RD,CONKLIN,NY,13748
